station_name,station_lat,station_long,average_ridership,census_tract,percent_minority,percent_employed,total_pop,total_num_jobs,income_per_cap,percent_poverty,percent_transit,percent_walk,average_pop,average_num_jobs,mean_commute,bus_dist,rail_dist,trolley_dist,high_speed_dist,bus_lat,rail_lat,trolley_lat,high_speed_lat,bus_long,rail_long,trolley_long,high_speed_long,state,county,men,women,hispanic,white,black,native,asian,pacific,citizen,income,income_err,income_per_cap_err,child_poverty,professional,service,office,construction,production,drive,carpool,other_transp,work_at_home,employed,private_work,public_work,self_employed,family_work,unemployment,C000,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05
3064,39.9384,-75.173271,53.96969697,42101002100,0.768,0.534294452,2289,260,26905,0.201,0.407,0.119,57.225,130,34.5,0.024144996,1.790067348,1.658807196,0.578262086,39.938614,39.94819754,39.953268,39.936194,-75.173319,-75.18993212,-75.171679,-75.167129,Pennsylvania,Philadelphia,1201,1088,2.6,23.2,71.8,0,1.2,0,1913,49229,3919,3961,52.7,34.7,30.3,25.1,2.1,7.8,31.4,0.7,2.8,12.4,1223,81.4,12.3,6.4,0,15.2,260,80,140,40,59,90,111,0,0,0,52,0,36,16,0,0,0,0,9,14,0,0,30,0,56,47,0,178,55,0,20,0,7,225,35,31,53,46,50,169,91,0,0,0,0,0,0,0,0,0,0
3114,39.937752,-75.180122,40.95959596,42101002100,0.768,0.534294452,2289,260,26905,0.201,0.407,0.119,57.225,130,34.5,0.002311027,1.431259101,1.819757532,1.121232595,39.937771,39.94819754,39.953917,39.936194,-75.180111,-75.18993212,-75.176791,-75.167129,Pennsylvania,Philadelphia,1201,1088,2.6,23.2,71.8,0,1.2,0,1913,49229,3919,3961,52.7,34.7,30.3,25.1,2.1,7.8,31.4,0.7,2.8,12.4,1223,81.4,12.3,6.4,0,15.2,260,80,140,40,59,90,111,0,0,0,52,0,36,16,0,0,0,0,9,14,0,0,30,0,56,47,0,178,55,0,20,0,7,225,35,31,53,46,50,169,91,0,0,0,0,0,0,0,0,0,0
3155,39.940182,-75.154419,40.77777778,42101001800,0.328,0.67654398,3206,761,47728,0.076,0.157,0.292,47.14705882,380.5,22.4,0.013989101,1.425751667,1.538619237,1.03206374,39.940233,39.9526408,39.952532,39.944086,-75.154269,-75.15837203,-75.162559,-75.165402,Pennsylvania,Philadelphia,1614,1592,6.3,67.2,14.9,0,7.5,0,2605,76750,19494,5035,16,61.6,12.7,17.9,1.7,6.1,29,11.1,10.9,4.2,2169,86.9,8.9,3.8,0.4,3,761,175,413,173,203,278,280,0,0,0,120,41,19,66,4,0,20,25,68,20,15,64,81,0,164,54,0,529,151,1,59,1,20,713,48,75,163,157,191,377,384,0,0,0,0,0,0,0,0,0,0
3030,39.93935,-75.157158,49.77777778,42101001800,0.328,0.67654398,3206,761,47728,0.076,0.157,0.292,47.14705882,380.5,22.4,0.05387352,1.48148884,1.536383778,0.87823163,39.939687,39.9526408,39.952532,39.944086,-75.157612,-75.15837203,-75.162559,-75.165402,Pennsylvania,Philadelphia,1614,1592,6.3,67.2,14.9,0,7.5,0,2605,76750,19494,5035,16,61.6,12.7,17.9,1.7,6.1,29,11.1,10.9,4.2,2169,86.9,8.9,3.8,0.4,3,761,175,413,173,203,278,280,0,0,0,120,41,19,66,4,0,20,25,68,20,15,64,81,0,164,54,0,529,151,1,59,1,20,713,48,75,163,157,191,377,384,0,0,0,0,0,0,0,0,0,0
3025,39.937241,-75.161201,38.97979798,42101002400,0.442,0.631222158,5163,1780,31728,0.083,0.325,0.197,90.57894737,1780,28.1,0.010489262,1.729278844,1.704218252,0.518651549,39.93717,39.9526408,39.952532,39.936194,-75.161282,-75.15837203,-75.162559,-75.167129,Pennsylvania,Philadelphia,2615,2548,16.6,55.8,9.6,0,14.9,0,3743,57193,11585,4002,13.1,46.6,26.8,16.9,4,5.6,23.8,5.8,14.2,4,3259,82.6,9.8,7.7,0,5.9,1780,433,963,384,646,694,440,0,0,0,24,10,46,416,0,5,22,65,39,0,14,400,265,4,319,151,0,944,468,12,325,3,28,1654,126,225,342,402,378,825,955,0,0,0,0,0,0,0,0,0,0
3119,39.96674,-75.207993,13.85858586,42101010700,0.98,0.21012735,3298,320,9277,0.489,0.492,0.111,109.9333333,320,33,0.049415925,2.504720431,0.049415925,1.03523274,39.966373,39.95651628,39.966373,39.958652,-75.207666,-75.18180596,-75.207666,-75.214009,Pennsylvania,Philadelphia,1591,1707,0.3,2,92.5,0,0.3,0,2226,14836,6792,1481,49.2,19.6,41.4,19.8,14.6,4.6,35.8,2.2,1.7,0,693,77.1,19,3.9,0,16.9,320,92,194,34,74,110,136,0,0,0,13,0,0,40,0,0,3,0,1,0,3,154,82,0,9,15,0,165,136,0,13,0,6,290,30,29,76,66,57,113,207,0,0,0,0,0,0,0,0,0,0
3104,39.96664,-75.192093,10.56565657,42101010900,0.845,0.295746388,2492,202,11628,0.547,0.3,0.1,83.06666667,101,33,0.03241212,1.42684878,0.811604866,1.201664449,39.966898,39.95651628,39.960255,39.955844,-75.19227,-75.18180596,-75.196707,-75.191462,Pennsylvania,Philadelphia,1290,1202,4.7,15.5,74.4,0,3.5,0,1714,19152,5467,2599,61.3,34.9,30.7,22.4,1.2,10.9,42.6,3.8,3.4,10.2,737,83.6,13.4,3,0,8.8,202,26,124,52,35,84,83,0,0,0,0,0,13,5,0,0,0,19,0,0,6,64,87,0,4,4,0,72,114,4,7,0,5,183,19,25,54,55,42,73,129,0,0,0,0,0,0,0,0,0,0
3035,39.962711,-75.194191,19.31313131,42101010900,0.845,0.295746388,2492,202,11628,0.547,0.3,0.1,83.06666667,101,33,0.024988896,1.260449828,0.347221595,0.798215697,39.962529,39.95651628,39.960255,39.955844,-75.194363,-75.18180596,-75.196707,-75.191462,Pennsylvania,Philadelphia,1290,1202,4.7,15.5,74.4,0,3.5,0,1714,19152,5467,2599,61.3,34.9,30.7,22.4,1.2,10.9,42.6,3.8,3.4,10.2,737,83.6,13.4,3,0,8.8,202,26,124,52,35,84,83,0,0,0,0,0,13,5,0,0,0,19,0,0,6,64,87,0,4,4,0,72,114,4,7,0,5,183,19,25,54,55,42,73,129,0,0,0,0,0,0,0,0,0,0
3045,39.947922,-75.162369,93.21212121,42101000901,0.358,0.652570879,2081,2286,34833,0.226,0.265,0.469,83.24,2286,21.6,0.01184859,0.625620347,0.512864414,0.197445439,39.9479,39.9526408,39.952532,39.948799,-75.162505,-75.15837203,-75.162559,-75.164383,Pennsylvania,Philadelphia,998,1083,6.3,64.2,7.1,0,20.2,0,1786,39539,7611,4966,51.4,73.5,8.5,17.1,0,0.9,14.2,1.4,6,5,1358,80.7,15.3,4,0,8.2,2286,796,1135,355,661,857,768,0,0,0,0,32,0,164,13,71,24,36,280,92,96,14,139,137,925,263,0,1492,596,9,144,0,45,2095,191,199,394,442,455,1185,1101,0,0,0,0,0,0,0,0,0,0
3056,39.976688,-75.158127,40.31313131,42101014600,0.65,0.26873385,3870,794,14350,0.282,0.357,0.229,297.6923077,794,23.6,0.049930041,0.905629425,0.585224356,0.222268491,39.977137,39.98147898,39.971499,39.978678,-75.15812,-75.14953179,-75.159275,-75.157881,Pennsylvania,Philadelphia,1799,2071,5.8,35,51,0,5.4,0,3421,28452,6881,4935,27.2,29.8,41.4,19.6,6.1,3.1,30.4,3.5,2.3,5.2,1040,74.5,18.8,6.1,0.6,14,794,386,297,111,412,216,166,0,0,0,1,0,1,236,0,0,31,31,0,0,85,98,64,0,240,7,0,332,417,4,29,0,12,756,38,65,130,118,95,335,459,0,0,0,0,0,0,0,0,0,0
