station_name,station_lat,station_long,census_tract,average_ridership,percent_minority,percent_employed,total_pop,income_per_cap,percent_poverty,percent_transit,percent_walk,total_num_jobs,average_pop,average_num_jobs,mean_commute,bus_dist,rail_dist,professional,service,office,construction,production,bus_lat,bus_long,rail_lat,rail_long
31293,38.902814,-77.061043,11001000100,85.66666667,0.181,0.616049146,5209,127012,0.036,0.202,0.211,10607,868.1666667,1767.833333,25,0.274589949,0.96397335,83.2,4.3,12,0,0.4,38.905211,-77.06028,38.900599,-77.050273
31246,38.905126,-77.056887,11001000100,153.0606061,0.181,0.616049146,5209,127012,0.036,0.202,0.211,10607,868.1666667,1767.833333,25,0.020520072,0.762202832,83.2,4.3,12,0,0.4,38.904952,-77.056808,38.900599,-77.050273
31215,38.902221,-77.059219,11001000100,139.3535354,0.181,0.616049146,5209,127012,0.036,0.202,0.211,10607,868.1666667,1767.833333,25,0.342498123,0.794874006,83.2,4.3,12,0,0.4,38.905296,-77.059448,38.900599,-77.050273
31226,38.916442,-77.0682,11001000100,36.21212121,0.181,0.616049146,5209,127012,0.036,0.202,0.211,10607,868.1666667,1767.833333,25,0.06197066,1.647881445,83.2,4.3,12,0,0.4,38.915923,-77.067939,38.924999,-77.052648
31225,38.90375,-77.06269,11001000100,108.9090909,0.181,0.616049146,5209,127012,0.036,0.202,0.211,10607,868.1666667,1767.833333,25,0.151991868,1.099520772,83.2,4.3,12,0,0.4,38.905093,-77.062363,38.896595,-77.07146
31312,38.90849,-77.063586,11001000100,53.77777778,0.181,0.616049146,5209,127012,0.036,0.202,0.211,10607,868.1666667,1767.833333,25,0.073236693,1.44809483,83.2,4.3,12,0,0.4,38.908966,-77.064171,38.900599,-77.050273
31080,38.897612,-77.080851,51013101601,26.78787879,0.281,0.711596386,1328,74576,0.176,0.255,0.097,437,664,218.5,27.7,0.040331392,0.729468485,79.9,7.3,12.5,0,0.3,38.897497,-77.080409,38.891499,-77.08391
31093,38.898984,-77.078317,51013101601,14.02020202,0.281,0.711596386,1328,74576,0.176,0.255,0.097,437,664,218.5,27.7,0.128410429,0.650147145,79.9,7.3,12.5,0,0.3,38.89783,-77.078261,38.896595,-77.07146
31401,38.9375,-77.0328,11001002502,67.53535354,0.822,0.607997266,5852,40849,0.147,0.458,0.031,952,2926,476,33.7,0.029905221,0.715868137,48.7,31.6,11,7,1.6,38.937235,-77.032859,38.936077,-77.024728
31400,38.936043,-77.024649,11001002502,71.35353535,0.822,0.607997266,5852,40849,0.147,0.458,0.031,952,2926,476,33.7,0.030447828,0.007809208,48.7,31.6,11,7,1.6,38.93578,-77.024551,38.936077,-77.024728
31124,38.928552,-77.032224,11001003000,155.2020202,0.598,0.571024335,3534,39046,0.262,0.516,0.094,382,1178,127.3333333,32.5,0.038463325,0.04949507,73.9,10.3,14.1,0.3,1.4,38.928443,-77.032646,38.928672,-77.032775
31102,38.929464,-77.027822,11001003000,88.80808081,0.598,0.571024335,3534,39046,0.262,0.516,0.094,382,1178,127.3333333,32.5,0.063331612,0.43739814,73.9,10.3,14.1,0.3,1.4,38.928981,-77.027434,38.928672,-77.032775
31105,38.9268,-77.0322,11001003000,40.48484848,0.598,0.571024335,3534,39046,0.262,0.516,0.094,382,1178,127.3333333,32.5,0.029436199,0.214016997,73.9,10.3,14.1,0.3,1.4,38.926777,-77.032539,38.928672,-77.032775
31615,38.899972,-76.998347,11001008302,149.7171717,0.288,0.656288917,2409,62769,0.065,0.368,0.17,1955,803,651.6666667,27.3,0.034114171,0.76856996,80.4,3.5,13.3,0.9,1.9,38.900107,-76.997993,38.897723,-77.006745
31647,38.89222,-76.99602,11001008302,63.42424242,0.288,0.656288917,2409,62769,0.065,0.368,0.17,1955,803,651.6666667,27.3,0.090098977,0.902189979,80.4,3.5,13.3,0.9,1.9,38.892212,-76.994979,38.884124,-76.995334
31612,38.894758,-76.997114,11001008302,76.02020202,0.288,0.656288917,2409,62769,0.065,0.368,0.17,1955,803,651.6666667,27.3,0.0145874,0.896317279,80.4,3.5,13.3,0.9,1.9,38.894627,-76.997123,38.897723,-77.006745
31623,38.89696,-77.00493,11001010600,436.7272727,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.1121827,0.178519179,75,7.1,14.6,0.8,2.6,38.895961,-77.005111,38.897723,-77.006745
31616,38.900412,-77.001949,11001010600,117.7878788,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.054745321,0.511524476,75,7.1,14.6,0.8,2.6,38.900162,-77.002494,38.897723,-77.006745
31645,38.902351,-76.998389,11001010600,47.92929293,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.032665224,0.687447909,75,7.1,14.6,0.8,2.6,38.902453,-76.998035,38.907407,-77.002961
31627,38.90547,-77.00213,11001010600,128.7979798,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.24456988,0.227070271,75,7.1,14.6,0.8,2.6,38.90766,-77.001868,38.907407,-77.002961
31603,38.9057,-77.0056,11001010600,240.5656566,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.290056107,0.296936208,75,7.1,14.6,0.8,2.6,38.905422,-77.008933,38.907407,-77.002961
31637,38.899703,-77.008911,11001010600,63.87878788,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.024641895,0.289149613,75,7.1,14.6,0.8,2.6,38.899856,-77.009117,38.897723,-77.006745
31639,38.89967,-77.003666,11001010600,90.22222222,0.417,0.702749438,5783,59292,0.153,0.445,0.141,21156,826.1428571,3022.285714,29.2,0.115235413,0.343317747,75,7.1,14.6,0.8,2.6,38.900162,-77.002494,38.897723,-77.006745
31622,38.894832,-76.987633,11001008001,77.94949495,0.494,0.637248744,3184,61145,0.065,0.274,0.034,287,3184,287,30.8,0.08764794,1.322503766,80.1,10.3,9.6,0,0,38.894748,-76.98864,38.88594,-76.977485
31081,38.804378,-77.060866,51510200702,16.97979798,0.309,0.760694358,4839,76904,0.016,0.496,0.126,7951,1613,2650.333333,31.2,0.151801353,0.234061174,81.6,7.1,9.8,0.1,1.3,38.805523,-77.06182,38.806474,-77.061115
31082,38.801111,-77.068952,51510200702,14.91919192,0.309,0.760694358,4839,76904,0.016,0.496,0.126,7951,1613,2650.333333,31.2,0.13290453,0.211936248,81.6,7.1,9.8,0.1,1.3,38.801167,-77.06742,38.800313,-77.071173
31084,38.802677,-77.063562,51510200702,18.49494949,0.309,0.760694358,4839,76904,0.016,0.496,0.126,7951,1613,2650.333333,31.2,0.187537368,0.472461257,81.6,7.1,9.8,0.1,1.3,38.804352,-77.063309,38.806474,-77.061115
31048,38.805763,-77.060627,51510201900,24.31313131,0.15,0.648841355,1683,91136,0.04,0.246,0.126,14900,280.5,2483.333333,29.2,0.02126365,0.0896577,79.5,4.9,12.9,1,1.6,38.805954,-77.060615,38.806474,-77.061115
31098,38.80704,-77.059817,51510201900,30.95959596,0.15,0.648841355,1683,91136,0.04,0.246,0.126,14900,280.5,2483.333333,29.2,0.122852302,0.128883363,79.5,4.9,12.9,1,1.6,38.806023,-77.060371,38.806474,-77.061115
31042,38.804718,-77.043363,51510201900,43.04040404,0.15,0.648841355,1683,91136,0.04,0.246,0.126,14900,280.5,2483.333333,29.2,0.304815997,1.370895473,79.5,4.9,12.9,1,1.6,38.805427,-77.046761,38.814009,-77.053763
31044,38.805317,-77.049883,51510201900,19.46464646,0.15,0.648841355,1683,91136,0.04,0.246,0.126,14900,280.5,2483.333333,29.2,0.250870513,0.981733156,79.5,4.9,12.9,1,1.6,38.805294,-77.046988,38.806474,-77.061115
31041,38.803124,-77.040363,51510201900,33.12121212,0.15,0.648841355,1683,91136,0.04,0.246,0.126,14900,280.5,2483.333333,29.2,0.593561152,1.677223303,79.5,4.9,12.9,1,1.6,38.804642,-77.04693,38.814009,-77.053763
31045,38.805648,-77.05293,51510201900,14.48484848,0.15,0.648841355,1683,91136,0.04,0.246,0.126,14900,280.5,2483.333333,29.2,0.516387303,0.7151613,79.5,4.9,12.9,1,1.6,38.805294,-77.046988,38.806474,-77.061115
31614,38.899983,-76.991383,11001008402,64.46464646,0.513,0.637130802,2133,53971,0.105,0.348,0.092,662,711,220.6666667,27.5,0.03544345,1.298156937,59.9,9.3,27.1,0.8,2.9,38.900288,-76.991264,38.907407,-77.002961
31611,38.900022,-76.988422,11001008402,92.87878788,0.513,0.637130802,2133,53971,0.105,0.348,0.092,662,711,220.6666667,27.5,0.115633182,1.502371745,59.9,9.3,27.1,0.8,2.9,38.900168,-76.989745,38.907407,-77.002961
31631,38.897274,-76.994749,11001008402,58.37373737,0.513,0.637130802,2133,53971,0.105,0.348,0.092,662,711,220.6666667,27.5,0.026046712,1.039330557,59.9,9.3,27.1,0.8,2.9,38.897156,-76.995009,38.897723,-77.006745
31205,38.900711,-77.046449,11001010800,81.57575758,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.045693942,0.33114752,47.8,23.7,27.3,0.2,1,38.901119,-77.046386,38.900599,-77.050273
31127,38.898925,-77.048852,11001010800,62.96969697,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.124642988,0.223091012,47.8,23.7,27.3,0.2,1,38.898643,-77.050246,38.900599,-77.050273
31257,38.90088,-77.048911,11001010800,121.6565657,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.095739644,0.121933141,47.8,23.7,27.3,0.2,1,38.900902,-77.050017,38.900599,-77.050273
31204,38.8963,-77.045,11001010800,83.84848485,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.125762314,0.660859934,47.8,23.7,27.3,0.2,1,38.895328,-77.044257,38.900599,-77.050273
31277,38.8983,-77.039732,11001010800,188.8484848,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.165905151,0.334875956,47.8,23.7,27.3,0.2,1,38.898113,-77.041634,38.901311,-77.03981
31284,38.893511,-77.041544,11001010800,55.96969697,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.016685925,0.880206088,47.8,23.7,27.3,0.2,1,38.893425,-77.041702,38.901311,-77.03981
31259,38.894722,-77.045128,11001010800,29.28282828,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.101106767,0.790756918,47.8,23.7,27.3,0.2,1,38.895328,-77.044257,38.900599,-77.050273
31206,38.8952,-77.0436,11001010800,30.95959596,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.028138328,0.754525741,47.8,23.7,27.3,0.2,1,38.895046,-77.043342,38.901311,-77.03981
31260,38.896104,-77.049882,11001010800,83.27272727,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.035336369,0.500965219,47.8,23.7,27.3,0.2,1,38.896309,-77.050194,38.900599,-77.050273
31279,38.898412,-77.043182,11001010800,71.98989899,0.36,0.369057084,6289,9861,0.381,0.269,0.557,13288,628.9,1328.8,19.2,0.035034041,0.434811143,47.8,23.7,27.3,0.2,1,38.898545,-77.043549,38.901311,-77.03981
31249,38.879819,-77.037413,11001006202,300.6565657,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.64095281,0.876569695,1.20974803,85.6,0,14.4,0,0,38.886023,-77.031165,38.888022,-77.028232
31289,38.890544,-77.049379,11001006202,352.6868687,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,28.06413015,0.163247805,1.120738695,85.6,0,14.4,0,0,38.891998,-77.049118,38.900599,-77.050273
31258,38.888251,-77.049426,11001006202,467.3434343,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.98058199,0.417499278,1.25281689,85.6,0,14.4,0,0,38.891998,-77.049118,38.884574,-77.063108
31235,38.8923,-77.0436,11001006202,90.34343434,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,28.08394267,0.032936262,1.054293857,85.6,0,14.4,0,0,38.892048,-77.0438,38.901311,-77.03981
31288,38.890493,-77.017253,11001006202,345.5151515,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.84414345,0.048613607,0.552104721,85.6,0,14.4,0,0,38.890841,-77.017593,38.893893,-77.021902
31290,38.888097,-77.038325,11001006202,249.5757576,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.74596399,0.438348521,0.873601471,85.6,0,14.4,0,0,38.891998,-77.039055,38.888022,-77.028232
31129,38.89635,-77.03338,11001006202,209.030303,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.7638322,0.111221632,0.505989168,85.6,0,14.4,0,0,38.896393,-77.032096,38.898303,-77.028099
31321,38.892244,-77.033234,11001006202,230.3737374,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.80040008,0.02657053,0.465570834,85.6,0,14.4,0,0,38.892242,-77.032927,38.893757,-77.028218
31261,38.892459,-77.046567,11001006202,59.32323232,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,28.01511703,0.058627018,0.960268756,85.6,0,14.4,0,0,38.892009,-77.04692,38.900599,-77.050273
31231,38.894514,-77.031617,11001006202,112.6767677,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.69730159,0.037390746,0.305968846,85.6,0,14.4,0,0,38.894218,-77.031822,38.893757,-77.028218
31211,38.897293,-77.05557,11001006202,72.98989899,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.74243047,0.184733324,0.587588573,85.6,0,14.4,0,0,38.89584,-77.054535,38.900599,-77.050273
31247,38.888553,-77.032429,11001006202,364.2323232,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.74845575,0.052964097,0.368021739,85.6,0,14.4,0,0,38.888908,-77.032021,38.888022,-77.028232
31248,38.888767,-77.02858,11001006202,319.5757576,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.56031981,0.112196624,0.08814591,85.6,0,14.4,0,0,38.887763,-77.028709,38.888022,-77.028232
31292,38.892441,-77.048947,11001006202,64.14141414,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.99664329,0.051434475,0.91435765,85.6,0,14.4,0,0,38.891998,-77.049118,38.900599,-77.050273
31273,38.878433,-77.03023,11001006202,41,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.74059559,0.51347421,1.004610019,85.6,0,14.4,0,0,38.879967,-77.024635,38.884775,-77.021964
31240,38.88412,-77.04657,11001006202,143.1313131,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.73681487,0.877739672,1.432349097,85.6,0,14.4,0,0,38.892009,-77.04692,38.884574,-77.063108
31219,38.893028,-77.026013,11001006202,163.1919192,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.64989782,0.041010675,0.207334116,85.6,0,14.4,0,0,38.893388,-77.026116,38.893757,-77.028218
31220,38.894919,-77.046587,11001006202,44.66666667,0.436,0.829059829,117,58019,0,0,0,13665,6.5,759.1666667,27.90348337,0.026998811,0.707568625,85.6,0,14.4,0,0,38.895088,-77.046363,38.900599,-77.050273
31114,38.918809,-77.041571,11001003800,116.4848485,0.429,0.69068223,4969,62218,0.111,0.449,0.159,2535,1656.333333,845,28.3,0.082866238,1.05029421,74.9,8.3,15,0.4,1.5,38.918064,-77.041595,38.909499,-77.04362
31116,38.917761,-77.04062,11001003800,109.1515152,0.429,0.69068223,4969,62218,0.111,0.449,0.159,2535,1656.333333,845,28.3,0.086839457,0.954655641,74.9,8.3,15,0.4,1.5,38.916988,-77.040763,38.909499,-77.04362
31103,38.926088,-77.036536,11001003800,95.22222222,0.429,0.69068223,4969,62218,0.111,0.449,0.159,2535,1656.333333,845,28.3,0.028562659,0.43405373,74.9,8.3,15,0.4,1.5,38.925849,-77.036415,38.928672,-77.032775
31509,38.912659,-77.017669,11001004801,70.05050505,0.648,0.703553756,2223,53431,0.097,0.462,0.132,3414,2223,3414,30.5,0.039346878,0.392573984,64.5,14.6,16.6,1.4,2.9,38.912467,-77.017287,38.912919,-77.022194
31280,38.913761,-77.027025,11001004901,72.31313131,0.665,0.572307692,2600,42893,0.208,0.304,0.205,1332,866.6666667,444,24.9,0.05086844,0.345555174,64.4,15.4,16.1,1.1,3,38.914214,-77.027107,38.916489,-77.028938
31281,38.90864,-77.02277,11001004901,183.7272727,0.665,0.572307692,2600,42893,0.208,0.304,0.205,1332,866.6666667,444,24.9,0.082699436,0.340504893,64.4,15.4,16.1,1.1,3,38.90842,-77.021857,38.905604,-77.022256
31245,38.912719,-77.022155,11001004901,110.1616162,0.665,0.572307692,2600,42893,0.208,0.304,0.205,1332,866.6666667,444,24.9,0.021311149,0.022493568,64.4,15.4,16.1,1.1,3,38.912833,-77.021957,38.912919,-77.022194
31643,38.884916,-77.005965,11001006500,104.4141414,0.255,0.757259001,2583,76326,0.082,0.454,0.26,2507,1291.5,1253.5,22.9,0.301846401,0.071900454,77.6,6.7,15.3,0.4,0,38.887611,-77.005547,38.884968,-77.005137
31605,38.8851,-77.0023,11001006500,67.12121212,0.255,0.757259001,2583,76326,0.082,0.454,0.26,2507,1291.5,1253.5,22.9,0.227033578,0.245994613,77.6,6.7,15.3,0.4,0,38.887073,-77.001625,38.884968,-77.005137
31265,38.90093,-77.018677,11001005900,161.7373737,0.44,0.70888272,2882,57361,0.139,0.342,0.39,8977,576.4,1795.4,23.1,0.074977572,0.397974902,74.5,8.7,15.5,0,1.3,38.901577,-77.018921,38.89834,-77.021851
31271,38.892275,-77.013917,11001005900,193.3737374,0.44,0.70888272,2882,57361,0.139,0.342,0.39,8977,576.4,1795.4,23.1,0.015169251,0.484814246,74.5,8.7,15.5,0,1.3,38.892142,-77.013878,38.896084,-77.016643
31624,38.897446,-77.009888,11001005900,183.8989899,0.44,0.70888272,2882,57361,0.139,0.342,0.39,8977,576.4,1795.4,23.1,0.084395501,0.273732491,74.5,8.7,15.5,0,1.3,38.897933,-77.00914,38.897723,-77.006745
31604,38.899408,-77.015289,11001005900,63.47474747,0.44,0.70888272,2882,57361,0.139,0.342,0.39,8977,576.4,1795.4,23.1,0.163518394,0.387740665,74.5,8.7,15.5,0,1.3,38.899692,-77.017143,38.896084,-77.016643
31621,38.895344,-77.016106,11001005900,56.34343434,0.44,0.70888272,2882,57361,0.139,0.342,0.39,8977,576.4,1795.4,23.1,0.08321187,0.094501001,74.5,8.7,15.5,0,1.3,38.896056,-77.016402,38.896084,-77.016643
31037,38.881044,-77.111768,51013101403,51.13131313,0.279,0.718585675,5515,71519,0.12,0.362,0.133,10487,1838.333333,3495.666667,25.5,0.049640996,0.11439152,83.7,2.7,11.8,0.6,1.3,38.881484,-77.111671,38.882071,-77.111845
31034,38.882629,-77.109366,51013101403,19.98989899,0.279,0.718585675,5515,71519,0.12,0.362,0.133,10487,1838.333333,3495.666667,25.5,0.167193256,0.223368338,83.7,2.7,11.8,0.6,1.3,38.882027,-77.111136,38.882071,-77.111845
31039,38.880012,-77.107854,51013101403,33.42424242,0.279,0.718585675,5515,71519,0.12,0.362,0.133,10487,1838.333333,3495.666667,25.5,0.137378818,0.414440546,83.7,2.7,11.8,0.6,1.3,38.880629,-77.109229,38.882071,-77.111845
31919,38.876695,-77.112982,51013102001,11.68686869,0.585,0.615432099,3240,34507,0.201,0.394,0.041,628,3240,628,31.1,0.027749708,0.60583188,45.7,37.5,5.1,4.8,6.9,38.876896,-77.112792,38.882071,-77.111845
31803,38.866611,-76.985238,11001007503,6.353535354,0.986,0.29844098,2694,14185,0.471,0.419,0.01,1056,1347,528,36.3,0.020821388,1.032993781,23.8,21.3,27.4,6.7,20.9,38.866782,-76.985336,38.862072,-76.995648
31807,38.863897,-76.990037,11001007503,6.090909091,0.986,0.29844098,2694,14185,0.471,0.419,0.01,1056,1347,528,36.3,0.035363712,0.52649085,23.8,21.3,27.4,6.7,20.9,38.864215,-76.990043,38.862072,-76.995648
31212,38.90534,-77.046774,11001010700,145.8888889,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.007262213,0.536980319,74.1,11.2,13.2,0.6,0.9,38.905281,-77.046738,38.909499,-77.04362
31100,38.9003,-77.0429,11001010700,56.5959596,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.081607776,0.290065665,74.1,11.2,13.2,0.6,0.9,38.900188,-77.041968,38.901311,-77.03981
31233,38.902061,-77.038322,11001010700,163.7575758,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.054969503,0.153411145,74.1,11.2,13.2,0.6,0.9,38.901615,-77.038596,38.901311,-77.03981
31239,38.905996,-77.039802,11001010700,102.3232323,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.117672095,0.311806134,74.1,11.2,13.2,0.6,0.9,38.905357,-77.040886,38.903192,-77.039766
31213,38.90276,-77.03863,11001010700,133.2727273,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.055535731,0.109410582,74.1,11.2,13.2,0.6,0.9,38.902569,-77.039223,38.903192,-77.039766
31221,38.905067,-77.041779,11001010700,109.8484848,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.083730155,0.271679636,74.1,11.2,13.2,0.6,0.9,38.905357,-77.040886,38.903192,-77.039766
31242,38.89968,-77.041539,11001010700,92.98989899,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.063320049,0.235111612,74.1,11.2,13.2,0.6,0.9,38.899116,-77.04164,38.901311,-77.03981
31250,38.903584,-77.044789,11001010700,57.08080808,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.080843355,0.436833178,74.1,11.2,13.2,0.6,0.9,38.904311,-77.044799,38.903192,-77.039766
31224,38.903741,-77.042452,11001010700,66.4040404,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.142821045,0.24030928,74.1,11.2,13.2,0.6,0.9,38.902612,-77.043239,38.903192,-77.039766
31252,38.901539,-77.046564,11001010700,66.64646465,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.041999052,0.337550394,74.1,11.2,13.2,0.6,0.9,38.901271,-77.046906,38.900599,-77.050273
31253,38.902204,-77.04337,11001010700,61.74747475,0.29,0.708951126,1821,58870,0.203,0.351,0.37,94727,165.5454545,8611.545455,24.2,0.03531603,0.323670687,74.1,11.2,13.2,0.6,0.9,38.90247,-77.043593,38.901311,-77.03981
