station_name,station_lat,station_long,census_tract,percent_minority,percent_employed,average_ridership,total_pop,income_per_cap,percent_poverty,percent_transit,mean_commute,average_pop,average_num_jobs,total_num_jobs,bus_dist,tram_dist,rail_dist,subway_dist,ferry_dist,bus_lat,tram_lat,rail_lat,subway_lat,ferry_lat,bus_long,tram_long,rail_long,subway_long,ferry_long,is_close_bus,is_close_tram,is_close_rail,is_close_subway,is_close_ferry,state,county,men,women,hispanic,white,black,native,asian,pacific,citizen,income,income_err,income_per_cap_err,child_poverty,professional,service,office,construction,production,drive,carpool,walk,other_transit,work_at_home,employed,private_work,public_work,self_employed,family_work,unemployed,CA01,CA02,CA03,CE01,CE02,CE03,CNS01,CNS02,CNS03,CNS04,CNS05,CNS06,CNS07,CNS08,CNS09,CNS10,CNS11,CNS12,CNS13,CNS14,CNS15,CNS16,CNS17,CNS18,CNS19,CNS20,CR01,CR02,CR03,CR04,CR05,CR07,CT01,CT02,CD01,CD02,CD03,CD04,CS01,CS02,CFA01,CFA02,CFA03,CFA04,CFA05,CFS01,CFS02,CFS03,CFS04,CFS05
Boston City Hall - 28 State St,42.35892,-71.057629,25025030300,0.234,0.581382689,198.2929293,5511,82812,0.178,0.158,19.2,1102.2,13490.4,67452,0.013713214,0.156847554,0.82914764,0.006933961,0.588859021,42.358863,42.359705,42.351763,42.358978,42.359448,-71.057481,-71.059215,-71.054797,-71.057598,-71.050498,TRUE,TRUE,FALSE,TRUE,FALSE,Massachusetts,Suffolk,3126,2385,6.7,76.6,7.3,0.4,6.1,0,4693,102277,19727,13324,0,67.4,7.6,18.8,1.2,5.1,13.1,0.5,58.7,1.7,10.2,3204,89,5.1,6,0,6.8,17187,36895,13370,8142,10695,48615,0,0,32,764,167,645,1128,537,2481,13002,2560,15260,1647,6867,1816,1760,746,5416,2105,10519,54124,7098,193,4879,53,1105,61772,5680,4033,8570,12479,25183,35413,32039,0,0,0,0,0,0,0,0,0,0
Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,25025060600,0.146,0.754759239,26.77777778,2679,75190,0.062,0.289,25.6,297.6666667,3352.444444,30172,0.109037206,1.673998291,0.893986865,0.954305218,0.960179265,42.347405,42.352531,42.351763,42.352271,42.355721,-71.044125,-71.064682,-71.054797,-71.055242,-71.049897,TRUE,FALSE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,1298,1381,1,85.4,0.7,0,10.2,0,2347,112688,23121,8016,7,70.7,4.6,21.9,0,2.7,35.1,6.7,22.2,3.2,3.9,2022,85.4,9,5.6,0,3.9,8085,17137,4950,2828,4193,23151,0,0,0,823,515,1203,229,421,2271,3904,1313,10541,468,1652,322,1417,250,4427,324,92,24184,2577,72,2838,32,469,27781,2391,2061,3794,5413,10819,17152,13020,0,0,0,0,0,0,0,0,0,0
Boston East - 126 Border St,42.37331213,-71.04102008,25025050300,0.656,0.383286648,6.727272727,2142,16902,0.338,0.54,26.6,714,208.6666667,626,0.17679934,1.822759021,1.910879547,0.482055373,0.947370242,42.37409,42.363021,42.366417,42.369119,42.372756,-71.039143,-71.05829,-71.062326,-71.03953,-71.052528,TRUE,FALSE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,1083,1059,44.8,34.4,8.8,0,7.1,0,1199,18021,3641,2013,40.9,21.2,45.3,16.1,3.3,14.1,25.2,6.3,10.8,0,3.8,821,87.2,9.3,2.8,0.7,9.1,234,272,120,262,222,142,0,0,0,5,0,0,317,13,7,3,9,21,0,14,0,134,0,93,10,0,493,77,3,42,0,11,485,141,67,102,119,104,271,355,0,0,0,0,0,0,0,0,0,0
Boston Medical Center - E Concord St at Harrison Ave,42.336437,-71.073089,25025071201,0.651,0.404944085,87.43434343,3398,45732,0.297,0.183,25.3,1699,2837,5674,0.09766331,1.204334872,1.173853173,1.019749411,2.868926851,42.335883,42.342687,42.327415,42.341512,42.355721,-71.074011,-71.085056,-71.065674,-71.083423,-71.049897,TRUE,FALSE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,1694,1704,28,34.9,17.4,0,18,0,2107,48333,13828,16987,25.9,53.3,21.2,17.5,0.7,7.3,28.8,8,37.6,3.5,3.8,1376,88.9,7.4,3.7,0,18.3,1339,3064,1271,655,1001,4018,11,0,0,759,235,158,219,1141,80,40,88,937,53,257,15,1024,100,272,85,200,4461,753,24,340,4,92,5161,513,442,989,1306,1598,2892,2782,0,0,0,0,0,0,0,0,0,0
Bowdoin St at Quincy St,42.30785224,-71.06512249,25025091600,0.87,0.401537552,5.131313131,3382,18010,0.245,0.267,28.8,3382,614,614,0.036201152,2.645924871,1.01261367,0.908381916,5.46792554,42.308167,42.284095,42.305037,42.300093,42.355721,-71.06501,-71.063302,-71.076833,-71.061667,-71.049897,TRUE,FALSE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,1732,1650,13.1,13,44.5,0,23.5,0,2022,37484,5209,3873,18.1,22.5,25,32.5,5,15,49,16,5.6,2.7,0,1358,79.3,15.7,5,0,15.4,111,357,146,186,223,205,0,0,0,14,0,27,47,3,0,1,9,17,0,21,11,320,0,88,56,0,230,115,2,254,3,10,546,68,95,96,157,155,247,367,0,0,0,0,0,0,0,0,0,0
Boylston St at Berkeley St,42.35114198,-71.07329249,25025010702,0.136,0.706459526,99.61616162,2446,109890,0.092,0.224,24.7,1223,8563.5,17127,0.029947084,0.214527682,0.466705541,0.466705541,1.988769689,42.351234,42.351902,42.34735,42.34735,42.355721,-71.07295,-71.070893,-71.075727,-71.075727,-71.049897,TRUE,TRUE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,1144,1302,7,86.4,1.5,0,4.1,0,2100,118508,15134,19432,0,77.1,4.9,16.8,0.3,0.9,20.2,2.6,39.3,4.3,11.2,1728,85.8,5,9.2,0,2.5,5829,8965,2333,2583,2592,11952,0,0,32,24,101,170,1453,229,1067,2903,311,5523,201,1071,546,488,333,1327,1125,223,13867,1143,45,1754,8,310,15870,1257,932,1877,2753,5736,8326,8801,0,0,0,0,0,0,0,0,0,0
Boylston St at Dartmouth St,42.350413,-71.07655,25025010702,0.136,0.706459526,66.49494949,2446,109890,0.092,0.224,24.7,1223,8563.5,17127,0.085156098,0.0750063,0.347240403,0.347240403,2.268314966,42.350011,42.350126,42.34735,42.34735,42.355721,-71.077432,-71.077376,-71.075727,-71.075727,-71.049897,TRUE,TRUE,TRUE,TRUE,FALSE,Massachusetts,Suffolk,1144,1302,7,86.4,1.5,0,4.1,0,2100,118508,15134,19432,0,77.1,4.9,16.8,0.3,0.9,20.2,2.6,39.3,4.3,11.2,1728,85.8,5,9.2,0,2.5,5829,8965,2333,2583,2592,11952,0,0,32,24,101,170,1453,229,1067,2903,311,5523,201,1071,546,488,333,1327,1125,223,13867,1143,45,1754,8,310,15870,1257,932,1877,2753,5736,8326,8801,0,0,0,0,0,0,0,0,0,0
Boylston St at Fairfield St,42.348762,-71.082383,25025010701,0.232,0.743716814,180.1717172,2825,79586,0.109,0.228,22.7,1412.5,2634.5,5269,0.109114044,0.359396552,0.569080437,0.569080437,2.779423583,42.348358,42.34557,42.34735,42.34735,42.355721,-71.083593,-71.081696,-71.075727,-71.075727,-71.049897,TRUE,TRUE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,1374,1451,9,76.8,1.6,0,9.1,0,2425,98595,5931,14778,4.1,69.6,5.3,24,0.5,0.5,27.9,2.1,32.9,4.7,9.6,2101,85,5.5,9.5,0,3,2245,2347,677,1684,1663,1922,0,0,0,12,19,60,1591,40,36,74,216,506,99,97,368,90,185,1342,534,0,4126,484,13,508,4,134,4663,606,379,658,831,1156,2307,2962,0,0,0,0,0,0,0,0,0,0
Boylston St at Massachusetts Ave,42.347265,-71.088088,25025010203,0.379,0.537610619,155.6767677,4972,35014,0.483,0.3,23.4,2486,2804,5608,0.050556771,0.070923115,0.977438196,0.74579672,3.276207112,42.347386,42.347888,42.347581,42.341512,42.355721,-71.087495,-71.087903,-71.099974,-71.083423,-71.049897,TRUE,TRUE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,2374,2598,17.7,62.1,4,0.2,14.5,0,3753,23494,13526,8775,77.8,75,8.4,14.8,0.4,1.4,16.1,2.2,42.1,7.7,1.9,2673,89.9,8.8,1.3,0,4.1,2566,2256,786,2373,1790,1445,0,0,0,1,3,2,598,34,58,8,214,91,0,31,13,487,1296,2738,34,0,4259,826,40,355,7,121,4823,785,472,760,906,904,3059,2549,0,0,0,0,0,0,0,0,0,0
Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,25025081001,0.603,0.48666958,73.70707071,4576,20927,0.468,0.479,30.7,4576,39465,39465,0.081769101,0.047129911,1.242012571,0.795089304,5.032798565,42.333906,42.334331,42.336608,42.331397,42.355721,-71.103897,-71.104487,-71.089208,-71.095451,-71.049897,TRUE,TRUE,FALSE,FALSE,FALSE,Massachusetts,Suffolk,2090,2486,17.3,39.7,17.5,0,24,0,3215,21250,5351,4892,76.7,54.4,17.1,21.8,1.3,5.5,23.8,2.1,21.7,1.6,2.8,2227,88.1,10.1,1.7,0,4.9,9520,22082,7863,3869,6283,29313,0,0,70,0,0,32,137,0,5,19,34,4185,224,59,4727,28144,0,701,1117,11,28340,5402,170,4691,76,786,35689,3776,2550,4587,7839,14969,12923,26542,0,0,0,0,0,0,0,0,0,0
