threshold,output,max_weights,lower_CI,upper_CI
0.201,20.78121233,11.79330015,6.260291273,35.30213338
0.211,19.77160121,12.33278868,5.393834964,34.14936746
0.221,18.05879903,11.85284466,3.624733561,32.49286451
0.231,18.28474177,10.13249162,3.802165359,32.76731818
0.241,18.28474177,10.13249162,3.802165359,32.76731818
0.251,18.28474177,10.13249162,3.802165359,32.76731818
0.261,18.33972585,9.031052546,4.034805013,32.64464669
0.271,18.97811305,9.441876288,4.891854953,33.06437115
0.281,18.69802465,9.990674355,4.700971118,32.69507817
0.291,18.46097477,8.187022995,4.527355999,32.39459354
0.301,18.46097477,8.187022995,4.527355999,32.39459354
0.311,14.49200864,14.61044268,0.806445205,28.17757208
0.321,8.726455238,20.84330599,-4.889413925,22.3423244
0.331,7.879533962,19.32922223,-5.620826822,21.37989475
0.341,7.91520322,17.26807483,-5.51331348,21.34371992
0.351,7.91520322,17.26807483,-5.51331348,21.34371992
0.361,7.738532266,17.81794467,-5.661252975,21.13831751
0.371,10.25188027,16.31225522,-3.05183618,23.55559673
0.381,10.12028281,17.95315514,-3.171665459,23.41223108
0.391,10.12028281,17.95315514,-3.171665459,23.41223108
0.401,10.13424707,20.31573058,-3.126112949,23.39460708
0.411,9.524790919,19.33182721,-3.891498923,22.94108076
0.421,9.475903181,18.11324231,-3.939291185,22.89109755
0.431,15.19957571,20.04585572,1.755682954,28.64346846
0.441,11.16244621,21.2546524,-2.36576697,24.69065938
0.451,10.3832083,30.24344199,-3.205171696,23.97158829
0.461,19.95586117,13.94359587,6.281276879,33.63044547
0.471,19.86184881,12.99452551,6.201223677,33.52247395
0.481,19.86184881,12.99452551,6.201223677,33.52247395
0.491,20.05001719,17.02737572,6.108572464,33.99146191
0.501,19.5623611,16.49583363,5.526913394,33.59780881
0.511,18.1562533,14.70346448,4.095185801,32.21732079
0.521,18.1562533,14.70346448,4.095185801,32.21732079
0.531,16.74786723,15.80373763,2.752883472,30.74285099
0.541,15.14478115,15.59298495,1.158729157,29.13083314
0.551,16.03144503,14.57409785,1.958793026,30.10409704
0.561,16.03144503,14.57409785,1.958793026,30.10409704
0.571,15.54090912,13.60065243,1.283956439,29.79786181
0.581,15.54090912,13.60065243,1.283956439,29.79786181
0.591,15.54090912,13.60065243,1.283956439,29.79786181
0.601,15.11370346,12.87183467,0.805791471,29.42161545
0.611,13.86595695,10.86735353,-0.558829752,28.29074365
0.621,13.52042363,11.06002374,-0.887786861,27.92863413
0.631,13.88569661,9.205601511,-0.522634418,28.29402763
0.641,12.71307306,9.287600881,-1.700414115,27.12656024
0.651,10.797428,12.25359008,-3.775636638,25.37049263
0.661,13.53124743,12.70989158,-1.148188656,28.21068351
0.671,15.30105879,13.20604639,0.587824685,30.0142929
0.681,14.36796791,12.69182447,-0.66736138,29.40329721
0.691,14.36796791,12.69182447,-0.66736138,29.40329721
0.701,15.39632406,12.12510871,0.14266,30.64998812
0.711,15.395771,12.77178933,0.098388265,30.69315374
0.721,15.395771,12.77178933,0.098388265,30.69315374
0.731,14.37860477,12.43369284,-1.199458747,29.95666828
0.741,14.47269005,12.66086295,-1.185066033,30.13044613
0.751,14.17343304,12.62624879,-1.723896278,30.07076236
0.761,14.17343304,12.62624879,-1.723896278,30.07076236
0.771,14.17343304,12.62624879,-1.723896278,30.07076236
0.781,14.17343304,12.62624879,-1.723896278,30.07076236
0.791,23.03315457,16.77975291,7.0494121,39.01689705
0.801,23.72570214,16.26487338,7.546434639,39.90496965
